[DEBUG] [2021-08-28 18:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20200, seq : 9da7c4b13bfd4cdfb10a5d30c1374f40, msgType : 19
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_DH_anon_WITH_AES_128_GCM_SHA256 => ADH-AES128-GCM-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_DH_anon_WITH_AES_128_GCM_SHA256 => ADH-AES128-GCM-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_DH_anon_WITH_AES_128_CBC_SHA256 => ADH-AES128-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_DH_anon_WITH_AES_128_CBC_SHA256 => ADH-AES128-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_DH_anon_WITH_AES_128_CBC_SHA => ADH-AES128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_DH_anon_WITH_AES_128_CBC_SHA => ADH-AES128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_DH_anon_WITH_SEED_SHA => ADH-SEED-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_DH_anon_WITH_SEED_SHA => ADH-SEED-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_DH_anon_WITH_CAMELLIA128_SHA => ADH-CAMELLIA128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_DH_anon_WITH_CAMELLIA128_SHA => ADH-CAMELLIA128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256 => ECDH-RSA-AES128-GCM-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_RSA_WITH_AES_128_GCM_SHA256 => ECDH-RSA-AES128-GCM-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256 => ECDH-ECDSA-AES128-GCM-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_ECDSA_WITH_AES_128_GCM_SHA256 => ECDH-ECDSA-AES128-GCM-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256 => ECDH-RSA-AES128-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_RSA_WITH_AES_128_CBC_SHA256 => ECDH-RSA-AES128-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256 => ECDH-ECDSA-AES128-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_ECDSA_WITH_AES_128_CBC_SHA256 => ECDH-ECDSA-AES128-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_RSA_WITH_AES_128_CBC_SHA => ECDH-RSA-AES128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_RSA_WITH_AES_128_CBC_SHA => ECDH-RSA-AES128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA => ECDH-ECDSA-AES128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_ECDSA_WITH_AES_128_CBC_SHA => ECDH-ECDSA-AES128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_AES_128_GCM_SHA256 => AES128-GCM-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_AES_128_GCM_SHA256 => AES128-GCM-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_AES_128_CBC_SHA256 => AES128-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_AES_128_CBC_SHA256 => AES128-SHA256
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_AES_128_CBC_SHA => AES128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_AES_128_CBC_SHA => AES128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_SEED_SHA => SEED-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_SEED_SHA => SEED-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_CAMELLIA128_SHA => CAMELLIA128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_CAMELLIA128_SHA => CAMELLIA128-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_IDEA_CBC_SHA => IDEA-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_IDEA_CBC_SHA => IDEA-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_PSK_WITH_AES_128_CBC_SHA => PSK-AES128-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_PSK_WITH_AES_128_CBC_SHA => PSK-AES128-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDHE_RSA_WITH_RC4_128_SHA => ECDHE-RSA-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDHE_RSA_WITH_RC4_128_SHA => ECDHE-RSA-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDHE_ECDSA_WITH_RC4_128_SHA => ECDHE-ECDSA-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDHE_ECDSA_WITH_RC4_128_SHA => ECDHE-ECDSA-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_anon_WITH_RC4_128_SHA => AECDH-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_anon_WITH_RC4_128_SHA => AECDH-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_DH_anon_WITH_RC4_128_MD5 => ADH-RC4-MD5
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_DH_anon_WITH_RC4_128_MD5 => ADH-RC4-MD5
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_RSA_WITH_RC4_128_SHA => ECDH-RSA-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_RSA_WITH_RC4_128_SHA => ECDH-RSA-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_ECDSA_WITH_RC4_128_SHA => ECDH-ECDSA-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_ECDSA_WITH_RC4_128_SHA => ECDH-ECDSA-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_RC4_128_SHA => RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_RC4_128_SHA => RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_RC4_128_MD5 => RC4-MD5
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_RC4_128_MD5 => RC4-MD5
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_PSK_WITH_RC4_128_SHA => PSK-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_PSK_WITH_RC4_128_SHA => PSK-RC4-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA => ECDHE-RSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA => ECDHE-RSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA => ECDHE-ECDSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA => ECDHE-ECDSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_SRP_DSS_WITH_3DES_EDE_CBC_SHA => SRP-DSS-3DES-EDE-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_SRP_DSS_WITH_3DES_EDE_CBC_SHA => SRP-DSS-3DES-EDE-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_SRP_RSA_WITH_3DES_EDE_CBC_SHA => SRP-RSA-3DES-EDE-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_SRP_RSA_WITH_3DES_EDE_CBC_SHA => SRP-RSA-3DES-EDE-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_SRP_WITH_3DES_EDE_CBC_SHA => SRP-3DES-EDE-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_SRP_WITH_3DES_EDE_CBC_SHA => SRP-3DES-EDE-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_EDH_RSA_WITH_3DES_EDE_CBC_SHA => EDH-RSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_EDH_RSA_WITH_3DES_EDE_CBC_SHA => EDH-RSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_EDH_DSS_WITH_3DES_EDE_CBC_SHA => EDH-DSS-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_EDH_DSS_WITH_3DES_EDE_CBC_SHA => EDH-DSS-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_DH_RSA_DES_CBC3_SHA => DH-RSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_DH_RSA_DES_CBC3_SHA => DH-RSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_DH_DSS_DES_CBC3_SHA => DH-DSS-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_DH_DSS_DES_CBC3_SHA => DH-DSS-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_anon_WITH_3DES_EDE_CBC_SHA => AECDH-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_anon_WITH_3DES_EDE_CBC_SHA => AECDH-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_DH_anon_WITH_3DES_EDE_CBC_SHA => ADH-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_DH_anon_WITH_3DES_EDE_CBC_SHA => ADH-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA => ECDH-RSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_RSA_WITH_3DES_EDE_CBC_SHA => ECDH-RSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA => ECDH-ECDSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA => ECDH-ECDSA-DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_3DES_EDE_CBC_SHA => DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_3DES_EDE_CBC_SHA => DES-CBC3-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_PSK_WITH_3DES_EDE_CBC_SHA => PSK-3DES-EDE-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_PSK_WITH_3DES_EDE_CBC_SHA => PSK-3DES-EDE-CBC-SHA
[DEBUG] [2021-08-28 18:03:55] OpenSsl.<clinit>(369) | Supported protocols (OpenSSL): [SSLv2Hello, SSLv3, TLSv1, TLSv1.1, TLSv1.2] 
[DEBUG] [2021-08-28 18:03:55] OpenSsl.<clinit>(370) | Default cipher suites (OpenSSL): [TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_128_GCM_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA]
[DEBUG] [2021-08-28 18:03:55] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(196) | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@306851c7
[DEBUG] [2021-08-28 18:03:55] ConnectionManager.startConnect(108) | startConnect to 1.15.226.19:20200
[DEBUG] [2021-08-28 18:03:55] DefaultChannelId.<clinit>(79) | -Dio.netty.processId: 13156 (auto-detected)
[DEBUG] [2021-08-28 18:03:55] DefaultChannelId.<clinit>(101) | -Dio.netty.machineId: 04:ed:33:ff:fe:c8:8d:c2 (auto-detected)
[DEBUG] [2021-08-28 18:03:55] ConnectionManager.startConnect(108) | startConnect to 1.15.226.19:20201
[DEBUG] [2021-08-28 18:03:55] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(196) | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@4a9c284a
[DEBUG] [2021-08-28 18:03:55] ConnectionManager.startConnect(143) |  start connect end. 
[DEBUG] [2021-08-28 18:03:55] ConnectionManager.startReconnectSchedule(147) |  start reconnect schedule
[DEBUG] [2021-08-28 18:03:55] SslHandler.setHandshakeSuccess(1807) | [id: 0xef731adc, L:/192.168.3.112:51200 - R:/1.15.226.19:20200] HANDSHAKEN: protocol:TLSv1.2 cipher suite:TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
[DEBUG] [2021-08-28 18:03:55] SslHandler.setHandshakeSuccess(1807) | [id: 0x36c71f79, L:/192.168.3.112:51201 - R:/1.15.226.19:20201] HANDSHAKEN: protocol:TLSv1.2 cipher suite:TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
[INFO] [2021-08-28 18:03:55] ChannelHandler.userEventTriggered(73) |  handshake success, host: 1.15.226.19, port: 20201, ctx: 132201832
[INFO] [2021-08-28 18:03:55] ChannelHandler.userEventTriggered(73) |  handshake success, host: 1.15.226.19, port: 20200, ctx: 703924160
[DEBUG] [2021-08-28 18:03:55] ConnectionManager.addConnectionContext(427) | addConnectionContext, endpoint: 1.15.226.19:20201, ctx:ChannelHandlerContext(ChannelHandler#0, [id: 0x36c71f79, L:/192.168.3.112:51201 - R:/1.15.226.19:20201])
[DEBUG] [2021-08-28 18:03:55] ConnectionManager.addConnectionContext(427) | addConnectionContext, endpoint: 1.15.226.19:20200, ctx:ChannelHandlerContext(ChannelHandler#0, [id: 0xef731adc, L:/192.168.3.112:51200 - R:/1.15.226.19:20200])
[DEBUG] [2021-08-28 18:03:55] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 1.15.226.19:20201
[DEBUG] [2021-08-28 18:03:55] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 1.15.226.19:20200
[DEBUG] [2021-08-28 18:03:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20201, seq : cf42d57a2f5141458c7b6725813e5909, msgType : 18
[DEBUG] [2021-08-28 18:03:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20200, seq : 8f5479dfe31b4d73afbf5831ef86cab4, msgType : 18
[INFO] [2021-08-28 18:03:56] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.2', supportedVersion='2.7.2', chainId='1', buildTime='20210201 10:03:03', buildType='Linux/clang/Release', gitBranch='HEAD', gitCommitHash='4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da'}, content: {"id":0,"jsonrpc":"2.0","result":{"Build Time":"20210201 10:03:03","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.7.2","Git Branch":"HEAD","Git Commit Hash":"4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da","Supported Version":"2.7.2"}}

[INFO] [2021-08-28 18:03:56] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.2', supportedVersion='2.7.2', chainId='1', buildTime='20210201 10:03:03', buildType='Linux/clang/Release', gitBranch='HEAD', gitCommitHash='4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da'}, content: {"id":1,"jsonrpc":"2.0","result":{"Build Time":"20210201 10:03:03","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.7.2","Git Branch":"HEAD","Git Commit Hash":"4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da","Supported Version":"2.7.2"}}

[INFO] [2021-08-28 18:03:56] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[INFO] [2021-08-28 18:03:56] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[DEBUG] [2021-08-28 18:03:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20201, seq : a721c067b6c145aeb2a3d1538233f968, msgType : 20
[DEBUG] [2021-08-28 18:03:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20200, seq : a65f9a193c0e40d3944d3311db8f6321, msgType : 20
[INFO] [2021-08-28 18:03:56] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 1.15.226.19:20201, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-08-28 18:03:56] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 1.15.226.19:20200, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-08-28 18:03:56] ChannelImp.checkConnectionsToStartPeriodTask(132) |  Connect to  nodes: 1.15.226.19:20200, 1.15.226.19:20201, java version: 13.0.8 ,java vendor: Azul Systems, Inc.
[DEBUG] [2021-08-28 18:03:56] ChannelImp.start(92) | Start the channel success
[INFO] [2021-08-28 18:03:56] BcosSDK.<init>(77) | create BcosSDK, start channel success, cryptoType: 0
[DEBUG] [2021-08-28 18:03:56] ThreadPoolService.<init>(37) | Create ThreadPoolService, threadName: channelProcessor, corePoolSize: 16, maxBlockingQueueSize: 102400
[INFO] [2021-08-28 18:03:56] BcosSDK.<init>(87) | create BcosSDK, start channel succ, channelProcessorThreadSize: 16, receiptProcessorThreadSize: 16
[DEBUG] [2021-08-28 18:03:56] ThreadPoolService.<init>(37) | Create ThreadPoolService, threadName: GroupManagerServiceImpl, corePoolSize: 16, maxBlockingQueueSize: 102400
[INFO] [2021-08-28 18:03:56] GroupManagerServiceImpl.registerBlockNumberNotifyHandler(259) | registerBlockNumberNotifyHandler
[INFO] [2021-08-28 18:03:56] GroupManagerServiceImpl.registerTransactionNotifyHandler(281) | registerTransactionNotifyHandler
[DEBUG] [2021-08-28 18:03:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20201, seq : 6aeee9395dcc45909f38cdb20d863243, msgType : 19
[DEBUG] [2021-08-28 18:03:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20200, seq : 7ebd857113f04bf5bf9bd6f9602c7fff, msgType : 19
[DEBUG] [2021-08-28 18:03:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20200, seq : eedeea3452df4555902d276fd5a32dad, msgType : 18
[DEBUG] [2021-08-28 18:03:56] GroupServiceImpl.<init>(45) | insert group: 1 for peer 1.15.226.19:20200
[DEBUG] [2021-08-28 18:03:56] GroupManagerServiceImpl.getAndUpdateBlockNumberForAllPeers(528) | g: 1, getAndUpdateBlockNumberForAllPeers, group availablePeers:[1.15.226.19:20200]
[DEBUG] [2021-08-28 18:03:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20200, seq : aa187482b797480d9b9bf8ea229ee84e, msgType : 18
[DEBUG] [2021-08-28 18:03:56] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 1.15.226.19:20200, updated blockNumber: 20, groupId: 1
[DEBUG] [2021-08-28 18:03:56] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 20, nodeWithLatestBlockNumber:[1.15.226.19:20200]
[DEBUG] [2021-08-28 18:03:56] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:1.15.226.19:20200, blockNumber: 20
[DEBUG] [2021-08-28 18:03:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20201, seq : d211a2d56ca642cf8cf38d1ff1e74c50, msgType : 18
[DEBUG] [2021-08-28 18:03:56] GroupServiceImpl.insertNode(84) | g:1, insertNode=1.15.226.19:20201, nodeSize=2, blockNumberInfoSize=1
[DEBUG] [2021-08-28 18:03:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20201, seq : 2f0c485efaa6473aa4bbb5a846986175, msgType : 18
[DEBUG] [2021-08-28 18:03:56] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 1.15.226.19:20201, updated blockNumber: 20, groupId: 1
[DEBUG] [2021-08-28 18:03:56] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 20, nodeWithLatestBlockNumber:[1.15.226.19:20200, 1.15.226.19:20201]
[DEBUG] [2021-08-28 18:03:56] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:1.15.226.19:20201, blockNumber: 20
